INFO  | 2016-04-26 17:29:48 | [main] interview.AppMain (AppMain.java:16) -  *** People Process BEGIN ***
INFO  | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:64) - Update response status message 404
ERROR | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:66) - Update Failed with Status code 404
INFO  | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:82) - Delete response status message 404
ERROR | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:84) - Deletion Failed with Status code 404
INFO  | 2016-04-26 17:29:49 | [main] Impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 17:29:49 | [main] interview.AppMain (AppMain.java:21) - *** People Process END *** 
ERROR | 2016-04-26 18:31:17 | [main] impl.PeopleProcessorImpl (PeopleProcessorImpl.java:43) - Person File /src/test/resources/TestPersonAdd.csv not found
INFO  | 2016-04-26 18:31:18 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:31:58 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-04-26 18:31:58 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:35:17 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-04-26 18:35:17 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:46:18 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-04-26 18:46:18 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:46:18 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:82) - Delete response status message 204
INFO  | 2016-04-26 18:46:18 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:46:19 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:64) - Update response status message 200
INFO  | 2016-04-26 18:46:19 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:82) - Delete response status message 404
ERROR | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:84) - Deletion Failed with Status code 404
INFO  | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:64) - Update response status message 200
INFO  | 2016-04-26 18:46:53 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
INFO  | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:82) - Delete response status message 404
ERROR | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:84) - Deletion Failed with Status code 404
INFO  | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:64) - Update response status message 404
ERROR | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:66) - Update Failed with Status code 404
INFO  | 2016-11-16 22:49:54 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:99) - Get All Persons response status message 200
INFO  | 2016-11-16 22:54:36 | [main] impl.PeopleServiceImpl (PeopleServiceImpl.java:44) - Add response status message 201
ERROR | 2016-11-16 22:54:36 | [main] impl.PeopleProcessorImpl (PeopleProcessorImpl.java:98) - The first element should either be A, U or D - 96,George Clooney,50
